model,cube_type,price_usd,rating,turning_smoothness,corner_cutting_deg,anti_pop_system,lubrication
GAN 356 M,3x3,15.65,4.75,7.85,42.1,Yes,Dry
GAN 11 M Pro,3x3,22.47,4.67,8.27,40.0,No,Factory
MoYu RS3M 2021,3x3,33.63,4.39,8.93,31.2,Yes,Custom
MoYu Weilong WRM V9,3x3,25.61,4.44,8.52,45.3,Yes,Dry
QiYi Tornado V3,3x3,12.82,4.84,9.51,40.4,No,Factory
Dayan TengYun V2,3x3,34.91,4.68,7.52,31.1,Yes,Custom
Valk 3 Elite M,3x3,34.63,4.89,9.15,31.1,Yes,Custom
YJ MGC Elite 2,2x2,12.92,4.36,8.29,30.5,No,Dry
GAN 249 V2,2x2,11.68,4.96,8.86,37.6,No,Custom
MoYu Meilong 2x2,2x2,9.04,4.33,8.24,35.1,Yes,Custom
MoYu Aosu WRM,4x4,23.18,4.47,8.92,37.3,No,Factory
QiYi Valk 4 M,4x4,21.67,4.59,9.17,49.7,No,Custom
YJ MGC 4x4,4x4,44.99,3.99,9.14,41.6,Yes,Custom
ShengShou 5x5 Legend,5x5,45.01,4.04,9.91,42.7,Yes,Dry
MoYu Aochuang GTS,5x5,35.81,4.6,7.82,43.2,No,Factory
QiYi X-Man Shadow 6x6,6x6,36.39,4.18,9.26,44.9,No,Factory
MoYu Aoshi WRM,6x6,73.82,4.43,9.87,47.1,Yes,Dry
YJ MGC 7x7,7x7,77.94,4.38,8.68,42.2,No,Factory
GAN Megaminx M,Megaminx,26.19,4.58,9.23,47.1,Yes,Factory
MoYu Magnetic Pyraminx,Pyraminx,19.93,4.79,7.74,36.1,No,Dry
QiYi X-Man Bell Pyraminx,Pyraminx,11.09,4.85,8.02,39.5,No,Factory
YJ MGC Skewb,Skewb,18.92,4.45,7.64,31.0,No,Factory
MoYu Mirror Cube,Mirror,6.18,4.09,9.02,38.6,No,Custom
MFJS MeiLong Mirror,Mirror,11.72,4.05,9.46,41.1,No,Dry
ShengShou Gigaminx,Gigaminx,99.5,4.35,9.21,46.5,Yes,Factory
